course,normalizedDifficulty
ARTHI   186V,6.047023469549071
ARTHI   186X,4.333218755744358
ARTHI   186Y,5.571644681670282
ARTHI   186Z,3.26331134833695
ARTHI   187B,3.998728015003616
ARTHI   187C,2.4496208721464736
ARTHI   187H,3.3933113483369506
ARTHI   187W,5.313227853400513
ARTHI   187Z,4.954175345450947
ARTHI   192A,2.602093399619002
ARTHI   199,2.976737274262876
ARTHI   199RA,2.342478015003617
ARTHI   200A,2.763185085710688
ARTHI   251A,2.642478015003617
ARTHI   251B,7.342478015003617
ARTHI   252B,2.618866903892506
ARTHI   253D,2.742478015003617
ARTHI   253E,2.5567637292893326
ARTHI   254,3.153589126114729
ARTHI   255A,2.5508113483369503
ARTHI   255D,2.5758113483369502
ARTHI   256,2.342478015003617
ARTHI   257A,2.5438669038925057
ARTHI   259A,3.6281923007179
ARTHI   260D,2.827730540256141
ARTHI   261A,2.342478015003617
ARTHI   263,2.929345574527426
ARTHI   265,2.853192300717903
ARTHI   266,2.9424780150036174
ARTHI   267,3.009144681670284
ARTHI   275B,3.2424780150036177
ARTHI   282A,2.467478015003617
ARTHI   293D,2.342478015003617
ARTHI   295,2.342478015003617
ARTHI   296A,2.342478015003617
ARTHI   297,2.342478015003617
ARTHI   500,10.0
ARTHI   502,10.0
ARTHI   596,2.342478015003617
ARTHI   597,10.0
ARTHI   598,10.0
ARTHI   599,10.0
ARTHIW    6R,5.499748325709122
ARTST     1A,5.942985746304172
ARTST     1C,3.508122113022671
ARTST     7A,5.454806273820085
ARTST     7B,8.23041516391056
ARTST     7C,4.66668197101825
ARTST     7D,4.894617843621279
ARTST    10,6.083887549311758
ARTST    12,4.05985222146451
ARTST    14,4.081357341810618
ARTST    18,5.5637978651527416
ARTST    19,5.75399034827884
ARTST    22,4.919426661933082
ARTST    32,2.457862630388232
ARTST   100,4.821561242081902
ARTST   101,3.954447035566387
ARTST   102,4.864601030876632
ARTST   105,4.68020719758574
ARTST   106,3.9407518245274265
ARTST   106W,5.426737274262876
ARTST   110,4.3165689240945255
ARTST   111,7.29783515786076
ARTST   112,4.330876707814074
ARTST   113,5.227398649924253
ARTST   117,5.236947225795824
ARTST   118,4.23690280246246
ARTST   120,4.810938027213629
ARTST   122,4.7323589673845685
ARTST   123,4.74859446799507
ARTST   125,6.260973878407946
ARTST   126,4.804016476542078
ARTST   130,5.574546699572374
ARTST   132,4.942196060116399
ARTST   136,6.122743582769186
ARTST   137,7.2470929587221775
ARTST   177,3.199620872146473
ARTST   185HR,3.897131694657296
ARTST   185KM,3.942478015003614
ARTST   185KY,4.199620872146472
ARTST   185LJ,6.592478015003617
ARTST   185PM,2.492478015003616
ARTST   185SW,6.1639065864321925
ARTST   192,10.0
ARTST   194,4.80081134833695
ARTST   196,3.357478015003617
ARTST   199,4.642478015003617
ARTST   199RA,2.9987280150036173
